codigo_comuna,nombre_comuna,poblacion,anio_poblacion,pobreza_ingresos_pct,anio_pobreza,areas_verdes_m2,anio_areas_verdes,ipp_miles_pesos,anio_ingresos,areas_verdes_m2_hab,ipp_pesos_hab
13101,SANTIAGO,438856,2024,3.8648,2022,2349420,2024,123162816,2024,5.35351,280645.168347
13102,CERRILLOS,85041,2024,5.2287,2022,74669,2024,19206241,2024,0.878035,225846.838584
13103,CERRO NAVIA,127250,2024,6.0135,2022,744637,2024,3525077,2024,5.851764,27701.980354
13104,CONCHALI,121587,2024,6.0799,2022,73347,2024,10751595,2024,0.603247,88427.175603
13105,EL BOSQUE,155257,2024,6.1982,2022,431700,2024,7132758,2024,2.780551,45941.619379
13106,ESTACION CENTRAL,181049,2024,5.0424,2022,884510,2024,24368743,2024,4.885473,134597.501229
13107,HUECHURABA,101808,2024,4.2766,2022,167458,2024,43248367,2024,1.644841,424803.227644
13108,INDEPENDENCIA,116943,2024,5.834,2022,102786,2024,13577166,2024,0.878941,116100.715733
13109,LA CISTERNA,103157,2024,4.0923,2022,93334,2024,11324057,2024,0.904776,109774.974069
13110,LA FLORIDA,374836,2024,3.5299,2022,1317980,2024,47231246,2024,3.516151,126005.095562
13111,LA GRANJA,112022,2024,6.0302,2022,698322,2024,5272131,2024,6.233793,47063.353627
13112,LA PINTANA,175421,2024,9.2938,2022,756019,2024,6715421,2024,4.309741,38281.739358
13113,LA REINA,89870,2024,1.6027,2022,1953250,2024,31019315,2024,21.734172,345157.616557
13114,LAS CONDES,296134,2024,0.9093,2022,1129386,2024,220242010,2024,3.813767,743724.158658
13115,LO BARNECHEA,112620,2024,0.9028,2022,894523,2024,118138043,2024,7.942843,1048997.007636
13116,LO ESPEJO,87295,2024,6.7817,2022,291971,2024,4269491,2024,3.344647,48908.769116
13117,LO PRADO,91290,2024,5.3267,2022,343370,2024,3588866,2024,3.76131,39312.805346
13118,MACUL,123800,2024,3.4747,2022,331976,2024,19664379,2024,2.681551,158839.894992
13119,MAIPU,503635,2024,3.2512,2022,4018982,2024,46214701,2024,7.97995,91762.290151
13120,ÑUÑOA,241467,2024,1.4888,2022,640833,2024,46387912,2024,2.653915,192108.702224
13121,PEDRO AGUIRRE CERDA,96062,2024,5.4732,2022,374698,2024,6659302,2024,3.900585,69322.95809
13122,PEÑALOLEN,236478,2024,3.2417,2022,3077091,2024,36622463,2024,13.012166,154866.258172
13123,PROVIDENCIA,143974,2024,1.3219,2022,2904368,2024,100441974,2024,20.172865,697639.671052
13124,PUDAHUEL,227820,2024,4.366,2022,1571548,2024,53826090,2024,6.8982,236265.86779
13125,QUILICURA,205624,2024,5.2223,2022,808434356,2024,50033693,2024,3931.614773,243326.134109
13126,QUINTA NORMAL,129351,2024,2.1493,2022,401562,2024,12800718,2024,3.104437,98961.105828
13127,RECOLETA,154615,2024,5.1391,2022,783784,2024,29174871,2024,5.069262,188693.66491
13128,RENCA,143622,2024,5.26,2022,811288,2024,26066880,2024,5.648772,181496.428124
13129,SAN JOAQUIN,95602,2024,4.8395,2022,707206,2024,18342646,2024,7.397398,191864.668103
13130,SAN MIGUEL,150829,2024,2.1727,2022,174109,2024,17321541,2024,1.154347,114842.245192
13131,SAN RAMON,76002,2024,6.8821,2022,399523,2024,4106548,2024,5.256743,54032.104418
13132,VITACURA,86420,2024,0.891,2022,664154,2024,86514257,2024,7.685189,1001090.685027
